更新时间,#genre#
20260721 05:04,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8


央视频道,#genre#
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1,https://stream1.freetv.fun/df7cf71b3e02015b9029ac087b3eec56fde92fd81d162962570629faec293037.m3u8
CCTV1,https://stream1.freetv.fun/354e2e055127bbf43693aa848d84f93f5bcc517472a8858f188f313dbf157f51.m3u8
CCTV1,https://stream1.freetv.fun/f1fa8406434117dfaa5c0b174fa90a31da74b1ad921fc3ce3662a40cff4d9001.m3u8
CCTV1,https://stream1.freetv.fun/3cd84be1fb3623f1c3ba7d3d26e3d607331255d6559bd3e6ded774a1ff7c2b89.m3u8
CCTV1,https://stream1.freetv.fun/e87ac64457c976111fc8524f11c25da508b807c29647c571b45ab13a609917c2.m3u8
CCTV1,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV1,http://69.30.245.50/live/cctv1.m3u8
CCTV1,https://t.freetv.fun/live/cctv1-1.m3u8
CCTV1,https://t.freetv.fun/live/cctv1-6.m3u8
CCTV1,https://t.freetv.fun/live/cctv1.m3u8
CCTV1,https://t.freetv.fun/live/cctv1-5.m3u8
CCTV1,https://t.freetv.fun/live/cctv1-4.m3u8
CCTV1,https://t.freetv.fun/live/cctv1-8.m3u8
CCTV1,https://t.freetv.fun/live/cctv1-3.m3u8
CCTV1,http://198.204.228.26/live/cctv1hd.m3u8
CCTV1,http://204.12.221.218:8181/3m1080p/cctv1.m3u8
CCTV1,http://198.204.240.250:82/live/cctv1.m3u8
CCTV1,http://173.208.212.130:8181/720p/cctv1.m3u8
CCTV1,http://dd.ddzb.fun/php/migu.php?id=cctv1
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV2,http://dd.ddzb.fun/php/migu.php?id=cctv2
CCTV2,https://t.freetv.fun/live/cctv2-cai-jing-4.m3u8
CCTV2,https://t.freetv.fun/live/cctv2-1.m3u8
CCTV2,https://t.freetv.fun/live/cctv2-cai-jing-1.m3u8
CCTV2,https://t.freetv.fun/live/cctv2-4.m3u8
